IID	PC1	PC2	PC3	PC4	PC5
tsk_497	-2.4318378	-0.58268005	-1.1727779	4.7785816	-2.1066582
tsk_502	-2.3302023	-1.1328685	1.8445419	0.29434603	-2.3194582
tsk_503	-4.208902	2.429591	-1.0580484	-5.837664	-0.2005278
tsk_505	-3.8282347	3.3333862	1.6613032	-1.3591329	0.8928438
tsk_514	-1.9025832	2.0979507	-2.1080112	0.3664793	1.8005126
tsk_523	-5.389301	3.1960714	0.56681293	-0.79550755	1.1770763
tsk_524	-4.1072774	2.0143166	2.6527314	1.8798536	-2.1792905
tsk_526	-3.156179	2.9394128	1.6816325	-3.601774	-1.709369
tsk_527	-1.0642307	-4.4476438	-2.136302	-0.43111044	3.763054
tsk_528	-2.1173716	2.6294127	1.8347967	-2.2886426	4.904905
tsk_530	-2.5529714	-2.515602	0.0645825	0.38517797	0.35265696
tsk_531	-3.1975257	-1.1543208	-3.9362354	1.3309886	0.7245384
tsk_535	-2.1175222	1.7689179	-3.3602765	-1.2481958	0.347088
tsk_536	-4.0476904	5.259116	-2.7069945	0.17939784	2.4947276
tsk_545	-2.1848683	1.6780846	1.5866125	-0.9867238	-1.7898635
tsk_557	0.9851792	-5.8326235	-1.3798586	-1.2535056	0.218177
tsk_559	-3.2034032	-0.65149415	0.5769384	1.8215318	-0.22061004
tsk_560	0.18218423	-5.233296	-1.7069526	-0.46872145	1.0022775
tsk_562	-4.018029	0.15260443	0.9931994	2.3548636	1.2305346
tsk_564	-2.7315629	3.5014684	-0.90129924	2.202132	-2.1520398
tsk_572	-4.3724694	0.95621395	-0.3404772	0.054899193	0.72106403
tsk_573	7.0576653	3.2565823	1.9044296	-1.5444163	-0.3952176
tsk_577	1.1248404	1.6785601	-0.6095761	-0.79509443	-0.70561916
tsk_579	-4.1539865	0.4677141	0.45538107	0.43912032	-1.0437342
tsk_581	-2.6755044	1.2817822	-1.4432614	-0.011036559	-0.0543608
tsk_584	-1.1784034	-5.8460627	-2.4330375	-1.4542676	-0.5949031
tsk_589	-1.9679564	0.08885032	-1.8482505	-1.5444323	1.1707311
tsk_591	-1.8166777	-0.40112507	-4.249129	-3.8922915	1.4912041
