IID	PC1	PC2	PC3	PC4	PC5
tsk_1415	-2.863359	0.45979407	0.01967961	1.7896208	-1.445698
tsk_1418	-1.8837775	-0.3078225	-1.7508621	2.2574828	-2.8605788
tsk_1422	-2.839296	-2.2952485	0.81752807	1.5955144	0.61808026
tsk_1452	-2.1531851	-2.3376265	0.18586238	-0.91441	0.66602427
tsk_1453	-0.31376588	1.1029851	-0.99189365	1.2377596	1.0962285
tsk_1455	0.16088165	2.746559	0.65781665	1.0444195	0.738519
tsk_1463	-1.0083772	-1.6960648	0.42301863	0.28765088	0.3720029
tsk_1499	-0.07515636	-0.6994261	0.21259819	0.9639618	-1.2939543
tsk_1500	-2.0495148	3.4575715	-1.3706138	1.3412873	-1.1816719
tsk_1522	1.7470955	-2.1772573	1.3920698	1.6575354	0.51821244
tsk_1531	0.40510678	-0.9119398	-1.0542245	1.529374	1.4170862
tsk_1533	1.7287409	1.2527734	4.0259347	1.8491545	-2.1076345
tsk_1534	0.80898017	2.083263	0.64811987	0.1431465	1.080779
tsk_1536	-1.714588	3.9051063	-1.5102961	-0.27694038	1.4557853
tsk_1538	-0.75551325	1.4221127	0.5086671	1.1039815	1.1563785
tsk_1546	-1.5332435	-0.21586831	-1.5674195	1.7233366	-2.459767
tsk_1550	-0.51176757	3.148339	-0.9306148	1.3538085	0.8532856
tsk_1631	0.16091996	-2.0238893	1.543247	1.4116396	3.2477717
tsk_1646	-0.8064698	2.6070256	0.9873706	-0.4265713	1.6216418
tsk_1660	-2.9579113	-4.355701	-0.43031412	-0.07794947	2.312433
tsk_1662	-1.8144598	-3.9429007	0.16625199	1.1293277	2.7737412
tsk_1733	-2.360273	-1.8524231	-1.4342784	0.35717496	2.9651208
tsk_1797	-1.5140877	0.28075984	3.0884974	1.9070623	-2.426201
tsk_1809	-3.0770912	-2.1343	-1.4782089	0.39960092	3.111887
tsk_1823	-2.220216	-1.5775619	0.33039105	-2.5402396	-0.6876911
tsk_2073	4.7000556	-1.2904881	-0.6317187	1.7880642	-1.6560594
tsk_2074	2.125927	-0.57526076	-1.9924068	1.2391915	-0.9131547
tsk_2078	1.6687667	0.7960585	-1.1558571	2.316566	-1.3357062
tsk_2085	1.2470975	-0.6960149	-2.728722	-0.90145	0.53210914
tsk_2115	3.299813	-0.7964023	-1.6435736	-0.8127199	-0.66244406
tsk_2116	3.7766473	-1.0468156	-0.7178126	0.44338837	0.3755978
tsk_2118	2.0445254	-0.8317965	-2.126918	2.6892087	-0.13412084
tsk_2120	3.8171852	-1.6471708	-0.9938956	1.0338998	0.11270889
tsk_2124	3.0920467	-0.36667705	0.71819085	1.591501	0.3822104
tsk_2126	3.2142613	0.40462503	-1.2833273	1.2349297	0.23697919
tsk_2132	3.902429	-0.6510543	-0.5554279	1.3951513	-8.154752E-4
tsk_2136	2.4159613	-0.1248196	-3.238164	-2.6643753	-0.22634943
tsk_2138	0.69179416	1.6862539	-4.3748937	0.54446256	0.5246507
tsk_2148	3.3846684	-0.46787298	-1.8305238	0.91458875	0.9853984
