IID	PC1	PC2	PC3	PC4	PC5
tsk_589	-0.9609547	-1.4899296	0.12529391	-1.929708	-1.8497633
tsk_591	-1.0993072	-1.1617868	-0.15496159	-0.8682462	-0.6290825
tsk_598	-0.8775597	-1.3270234	0.17666113	0.806665	-1.3366119
tsk_602	-1.3774894	-0.6093348	0.7984234	2.078331	-1.6300036
tsk_610	-0.92432106	-1.2145745	0.03748605	-0.0054193954	1.0465977
tsk_611	-1.0404463	0.16327833	1.1636086	-0.8681889	1.271031
tsk_616	2.6526868	-0.46997786	1.0520041	0.23738876	-0.61562216
tsk_619	-0.81303877	-1.2578335	-0.17258187	-1.9942796	-0.9463557
tsk_620	2.6725364	0.6466247	2.1100333	0.08197072	0.6355111
tsk_621	-1.2992959	-1.1889383	-0.03556436	0.21147174	1.1372893
tsk_635	-1.2097015	-1.3037411	0.09742401	0.30816177	0.10040352
tsk_638	-1.1552498	-1.1602585	-0.04902104	-0.85076994	0.13425218
tsk_641	-1.2131522	-1.504515	0.22604859	0.22867842	0.066098824
tsk_672	-1.1446503	-1.1703163	0.09274547	0.6855894	-1.2240478
tsk_680	-1.3865893	0.083557576	2.1127796	0.9004258	-0.6691827
tsk_682	-1.0424138	-1.3441497	0.14431554	0.6824749	0.08184129
tsk_683	-1.238313	-0.9545485	0.64542705	-0.046474222	0.7465892
tsk_693	-1.2177579	-0.5934617	0.8679164	-1.1118357	0.5891622
tsk_694	-1.2692553	-1.041862	-0.09069335	0.073681444	0.31092373
tsk_704	3.0135248	-0.52670133	-0.23258106	0.015201807	0.9004535
tsk_707	-1.1738061	-1.3964894	0.10579507	0.11022783	0.3663419
tsk_718	-1.22613	-1.0210018	-0.093898706	-0.07218644	0.43542257
tsk_724	6.568964	-0.56532055	0.18557478	0.27053854	0.09988596
tsk_748	-0.90882003	-1.3706869	0.09867951	-0.92669296	-0.6130053
tsk_749	-1.1407855	-1.1447022	-0.063199796	-0.44831192	0.13905866
tsk_751	-1.277849	-0.80914044	1.0164956	0.9573877	-0.5939641
tsk_752	-1.162055	-1.3315485	0.21921214	0.5584573	-0.38539195
tsk_756	-1.0091743	-1.2676984	0.0019942964	0.28311214	-0.065045744
tsk_757	1.552261	-0.8519267	0.11478725	0.9247308	-0.25145945
tsk_759	-1.2334391	-1.3852425	0.07523719	0.20502937	-0.53586394
tsk_767	-1.1779231	-1.1956444	0.08468501	-0.13878183	0.23083349
tsk_776	2.8606377	0.4454727	2.1125505	-1.0668359	-1.3903635
tsk_777	6.3997774	-0.76389736	0.25524798	-0.524143	-0.11672945
tsk_778	-1.2546315	-0.5178716	0.82408774	-0.007529624	0.31771895
tsk_785	5.878646	-0.43633178	-0.07996108	0.24449892	-0.17829417
tsk_787	-1.1781992	-1.2064027	-0.02699107	-0.6736099	0.5756956
tsk_794	-1.3489406	-0.3057789	-0.2955614	-0.2029839	0.30604014
tsk_795	-1.3522773	-1.2349209	-0.035420768	0.7732846	-1.0820143
tsk_797	-1.2880342	-1.2609372	0.056359943	0.22200447	1.2861904
tsk_799	-1.191036	-1.1583171	-0.038909838	0.08813583	0.38372585
tsk_1242	-1.437125	1.7927809	-1.9912103	0.44292957	-0.48393136
tsk_1263	-1.4850668	1.6138735	-1.8805346	0.6191779	0.055779014
tsk_1267	1.427868	2.2316597	-2.1387024	1.1144878	0.004668202
tsk_1282	-1.680655	4.46342	2.0359812	-0.5157738	-1.1075174
tsk_1316	-1.4691495	2.0416481	-1.9064207	-0.527165	-0.005343285
tsk_1324	-1.6033286	1.5554786	-1.865928	1.5468065	-0.64740545
tsk_1328	-1.4963578	1.659776	-1.8749748	0.47959533	-0.016679758
tsk_1329	-1.4190872	1.617572	-1.948191	0.26953334	-0.7205412
tsk_1331	-1.4120663	1.7006238	-2.0210812	0.667544	-0.24271823
tsk_1333	-1.2083411	4.9602795	1.8822818	-0.40705335	-0.526065
tsk_1350	-1.3662344	1.8558812	-2.158978	-0.25786215	-0.22696175
tsk_1382	-1.4433243	1.8617121	-2.1358833	0.041111123	0.58511627
tsk_1383	6.4116535	2.7855017	-1.6298965	0.34743112	0.32928342
tsk_1389	-1.6316769	4.741868	1.9032803	-0.51976514	-0.1992332
tsk_1395	-1.3886286	1.8824625	-2.1364534	-0.3192029	-0.39841074
tsk_1415	-1.7117075	4.454809	2.330206	0.2886176	0.13517593
tsk_1418	-1.4252533	2.1471152	-2.5148134	-0.35858476	0.30832806
tsk_1422	-1.2384428	2.4266298	-2.7589483	-0.6189872	-0.70576626
tsk_1452	-1.4372137	1.6554394	-1.87471	0.5996286	0.34454098
tsk_1453	-1.3930919	1.6677566	-2.0149968	-0.10599325	1.0785931
tsk_1455	-1.7175106	4.722562	2.221023	0.0078592375	0.14042002
tsk_1463	-1.5006777	1.8509933	-1.6515435	0.44956923	0.79631865
tsk_1499	-1.6293322	3.5512667	0.6172074	-0.5828519	0.4232408
tsk_1500	-1.545212	2.5106628	-1.0674225	-0.1412464	3.452603E-4
tsk_1522	-1.4686794	1.7178942	-1.9121612	0.81698287	0.4810403
tsk_1531	-1.4700304	1.6717817	-1.9349059	0.17048997	0.34894687
tsk_1533	1.9260925	1.9232916	-1.8864899	-0.24829504	-0.42304274
tsk_1534	-1.3526933	1.5947206	-1.8612034	0.4414329	0.40601748
tsk_1536	-1.3122761	1.8127921	-2.0380414	-0.48797157	0.28128085
tsk_1538	-1.7209208	4.6759114	2.231904	0.086908326	0.57769984
tsk_1546	-1.673512	3.550654	0.61964923	0.17234701	1.0952249
tsk_1550	-1.4922844	1.8797396	-2.1216369	0.6220624	-0.21321937
tsk_1631	-1.4109851	2.6765625	-2.9368696	-0.913155	-0.029650735
tsk_1646	2.4076707	4.0092926	-0.34445053	-1.12444	-0.21653904
tsk_1660	6.642061	3.2512586	-2.202317	0.33963868	-0.12971681
tsk_1662	2.3761508	2.9839349	-2.94894	0.13864091	-0.7369007
tsk_1733	-1.3137534	3.9360566	-0.70466447	-0.9937037	-0.530466
tsk_1797	-1.4434751	1.5634261	-1.8354719	0.55956614	0.48064464
tsk_1809	-1.4136124	2.7983959	-2.589804	-1.2224013	-0.5818081
tsk_1823	-0.84589577	2.7300324	-2.492217	-0.6759414	0.18318024
tsk_2073	-1.3305165	-0.37254894	0.6598291	1.222819	-0.6722802
tsk_2074	-1.1957273	-0.77862954	-0.19211717	1.0373003	-0.31755593
tsk_2078	-1.0934486	-0.7570371	-0.2364605	0.7761535	-0.13857237
tsk_2085	1.8150845	-0.5973473	-0.07123939	1.4991812	-0.3794298
tsk_2115	-1.2025661	-0.7716046	-0.1664215	1.2911729	-0.5912476
tsk_2116	1.7318174	-0.59226614	-0.15581582	1.3489562	-0.30294198
tsk_2118	-1.0109891	-1.0672977	-0.025221271	0.8795451	-0.065071665
tsk_2120	-1.2231108	-0.61047786	-0.22723351	1.7927113	-1.3586756
tsk_2124	-1.2782052	-1.0464227	0.010394887	1.483279	-1.0022752
tsk_2126	-1.1625628	-0.6657735	-0.21646486	0.8099825	-0.07631047
tsk_2132	2.829403	-0.42688775	-0.20097436	0.8402325	0.066221915
tsk_2136	1.8220842	-0.68238515	-0.12488122	1.32788	-0.40529507
tsk_2138	-1.3121791	-0.6454814	-0.33516753	1.2795676	-0.42730767
