IID PC1 PC2 PC3 PC4 PC5 POPULATION
tsk_494 -5.865035 -3.4180965 5.6902585 -5.7052903 -0.12042941 SAR
tsk_497 -5.6823997 -6.188732 -1.0506419 3.1075978 -2.1313756 SAR
tsk_502 -4.8642945 0.10594166 2.035365 -0.8738401 -0.647532 ADY
tsk_503 -6.0824738 -5.4592905 -3.6987934 -2.2864704 -1.5665681 BAS
tsk_505 -4.8375654 -4.4207115 3.7954395 -1.7047899 -3.7666683 SAR
tsk_514 -4.5596724 -3.5455632 -2.014625 1.1214347 -3.764749 SAR
tsk_523 -6.963884 -6.3631997 0.22507788 -3.548421 0.16994502 SAR
tsk_524 -5.680941 -5.876418 5.0366473 -1.5464996 -4.997047 SAR
tsk_526 -4.2889876 0.24304476 1.28269 0.5285384 0.004910956 HZP
tsk_527 -2.6834762 7.374159 -1.6591073 5.3464384 -0.9429265 PTH
tsk_528 -3.004859 0.21309677 2.566433 1.6701041 2.5884628 PTH
tsk_530 -4.466966 3.9451935 0.81797063 5.5797877 0.9091147 PTH
tsk_531 -6.12128 -3.408047 -1.7015315 4.4568076 -4.917158 SAR
tsk_535 -4.8901877 -6.4245644 -5.021407 -2.5832343 2.452596 BAS
tsk_536 -4.622636 -7.5796165 -1.7568088 1.5705125 -3.7618823 SAR
tsk_545 -4.761695 -0.9656259 1.9281324 -1.6847705 -1.8588865 HZP
tsk_557 -1.8615037 7.839866 -0.6106111 5.2196326 4.3920126 HZP
tsk_559 -4.7194986 2.8267226 9.748279 8.535179 -4.878148 KLS
tsk_560 -3.5180497 6.280004 -0.8100749 6.136594 -1.0192165 HZP
tsk_562 -6.5420156 2.8262184 7.7890954 7.256789 -3.3175168 KLS
tsk_564 -4.4800463 -7.0731645 0.30756027 0.10573952 -3.6940446 SAR
tsk_572 -6.3938093 -5.058864 0.49170095 0.36563554 -4.5663915 SAR
tsk_573 14.2103615 -1.135627 3.4702199 -3.046711 6.0389075 MAN
tsk_577 1.2228761 -3.177092 -1.3823249 -1.8533691 -6.527739 MZB
tsk_579 -5.7698665 -3.9661775 1.8030783 -2.883365 -2.9647548 SAR
tsk_581 -6.7171545 -4.709954 -1.2062223 -0.38453197 -0.005720734 SAR
tsk_584 -3.8664715 4.7020683 -3.9267013 6.4674373 3.9671495 HZP
tsk_589 -2.6021528 0.7204563 2.9557133 3.4412947 -5.3521137 KLS
tsk_591 -4.854839 1.570977 -3.7729895 4.4152317 0.87945735 PTH
tsk_598 0.6605776 -2.958715 -6.132768 3.12468 -4.840676 MZB
tsk_602 16.595877 -2.6096208 -2.5642533 2.1654198 2.7851644 MAN
tsk_610 -4.672931 -4.807773 -3.0879824 3.4365232 0.92479247 SAR
tsk_611 -4.8519106 -3.4377809 -2.7531037 -2.339485 -2.359495 BAS
tsk_616 -2.1242175 -7.0494914 -3.4724708 -2.4258525 -5.699766 MZB
tsk_619 -5.4585543 1.8212363 9.633005 1.6072036 0.6631281 KLS
tsk_620 -5.604173 -4.3945093 -1.6136236 -1.4758558 1.464711 SAR
tsk_621 -3.7274206 -6.602476 -5.821236 2.232509 -8.579767 SAR
tsk_635 -1.8520335 -2.875785 0.78266215 -3.451655 -5.4430623 MZB
tsk_638 -5.2894406 -4.6643395 0.8390541 -3.5845075 -0.9894656 BAS
tsk_641 -1.411736 -2.9460428 0.009388839 -1.9484539 -2.7678747 MZB
tsk_672 10.786814 -0.5311451 -1.7836348 4.2234464 -1.3394139 MZB
